2025-07-04 04:30:04,328 p=52274 u=devops n=ansible | Downloading http://content.example.com/jenkins-ci-plt/collections/ansible-posix-1.5.2.tar.gz to /home/devops/.ansible/tmp/ansible-local-52274tw6d8_ib/tmpt8yl1r_1/ansible-posix-1.5.2-c75ic3dy
2025-07-04 04:30:04,372 p=52274 u=devops n=ansible | Downloading http://content.example.com/jenkins-ci-plt/collections/community-general-9.5.7.tar.gz to /home/devops/.ansible/tmp/ansible-local-52274tw6d8_ib/tmpt8yl1r_1/community-general-9.5.7-axw1yjrl
2025-07-04 04:30:04,803 p=52274 u=devops n=ansible | Downloading http://content.example.com/jenkins-ci-plt/collections/community-mysql-3.12.0.tar.gz to /home/devops/.ansible/tmp/ansible-local-52274tw6d8_ib/tmpt8yl1r_1/community-mysql-3.12.0-4xhkl4yt
2025-07-04 04:30:04,832 p=52274 u=devops n=ansible | Starting galaxy collection install process
2025-07-04 04:30:04,832 p=52274 u=devops n=ansible | Process install dependency map
2025-07-04 04:30:04,833 p=52274 u=devops n=ansible | |
2025-07-04 04:30:04,934 p=52274 u=devops n=ansible | Starting collection install process
2025-07-04 04:30:04,935 p=52274 u=devops n=ansible | |
2025-07-04 04:30:05,039 p=52274 u=devops n=ansible | Installing 'ansible.posix:1.5.2' to '/home/devops/haproxy-lamp/collections/ansible_collections/ansible/posix'
2025-07-04 04:30:05,039 p=52274 u=devops n=ansible | ansible.posix:1.5.2 was installed successfully
2025-07-04 04:30:05,039 p=52274 u=devops n=ansible | Installing 'community.general:9.5.7' to '/home/devops/haproxy-lamp/collections/ansible_collections/community/general'
2025-07-04 04:30:05,039 p=52274 u=devops n=ansible | /
2025-07-04 04:30:05,140 p=52274 u=devops n=ansible | -
2025-07-04 04:30:05,241 p=52274 u=devops n=ansible | \
2025-07-04 04:30:05,346 p=52274 u=devops n=ansible | |
2025-07-04 04:30:05,447 p=52274 u=devops n=ansible | /
2025-07-04 04:30:05,548 p=52274 u=devops n=ansible | -
2025-07-04 04:30:05,651 p=52274 u=devops n=ansible | \
2025-07-04 04:30:05,752 p=52274 u=devops n=ansible | |
2025-07-04 04:30:05,854 p=52274 u=devops n=ansible | /
2025-07-04 04:30:05,955 p=52274 u=devops n=ansible | -
2025-07-04 04:30:06,056 p=52274 u=devops n=ansible | \
2025-07-04 04:30:06,157 p=52274 u=devops n=ansible | |
2025-07-04 04:30:06,258 p=52274 u=devops n=ansible | /
2025-07-04 04:30:06,359 p=52274 u=devops n=ansible | -
2025-07-04 04:30:06,460 p=52274 u=devops n=ansible | \
2025-07-04 04:30:06,561 p=52274 u=devops n=ansible | |
2025-07-04 04:30:06,663 p=52274 u=devops n=ansible | /
2025-07-04 04:30:06,764 p=52274 u=devops n=ansible | -
2025-07-04 04:30:06,866 p=52274 u=devops n=ansible | \
2025-07-04 04:30:06,966 p=52274 u=devops n=ansible | |
2025-07-04 04:30:07,068 p=52274 u=devops n=ansible | /
2025-07-04 04:30:07,170 p=52274 u=devops n=ansible | -
2025-07-04 04:30:07,270 p=52274 u=devops n=ansible | \
2025-07-04 04:30:07,372 p=52274 u=devops n=ansible | |
2025-07-04 04:30:07,472 p=52274 u=devops n=ansible | /
2025-07-04 04:30:07,574 p=52274 u=devops n=ansible | community.general:9.5.7 was installed successfully
